vid_id,blink_count,frames,age_grp,gender,time_of_day,bpf,label
0,46,396,2,0,4,0.1161616161616161,0
1,14,460,1,1,2,0.0304347826086956,0
2,46,693,3,0,4,0.0663780663780663,0
3,128,303,2,0,4,0.4224422442244224,0
4,19,309,1,0,4,0.0614886731391585,0
5,17,385,1,1,4,0.0441558441558441,0
6,9,310,2,0,4,0.0290322580645161,0
7,72,505,1,1,1,0.1425742574257425,0
8,45,637,2,1,4,0.0706436420722135,0
9,44,588,3,0,4,0.0748299319727891,0
10,12,474,2,1,1,0.0253164556962025,0
11,2,632,1,0,2,0.0031645569620253,0
12,26,363,1,1,4,0.071625344352617,0
13,91,332,3,1,4,0.2740963855421687,0
14,43,676,1,0,4,0.0636094674556213,0
15,106,437,2,0,4,0.2425629290617849,0
16,30,678,3,0,4,0.0442477876106194,0
17,20,398,3,1,4,0.050251256281407,0
18,18,432,3,1,4,0.0416666666666666,0
19,106,1385,2,1,4,0.0765342960288808,0
20,34,390,2,0,0,0.0871794871794871,0
21,82,431,1,1,4,0.1902552204176334,0
22,196,325,1,0,4,0.6030769230769231,0
23,19,553,1,0,3,0.0343580470162748,0
24,9,306,3,0,3,0.0294117647058823,0
25,46,747,2,1,4,0.0615796519410977,0
26,36,322,2,1,4,0.1118012422360248,0
27,32,315,4,0,2,0.1015873015873015,0
28,24,434,2,1,4,0.0552995391705069,0
29,11,416,3,1,4,0.0264423076923076,0
30,60,297,1,1,2,0.202020202020202,0
31,58,482,2,0,4,0.1203319502074688,0
32,30,310,1,1,0,0.0967741935483871,0
33,799,809,2,0,4,0.9876390605686032,0
34,45,407,1,1,0,0.1105651105651105,0
35,42,423,1,0,4,0.0992907801418439,0
36,9,337,1,0,4,0.0267062314540059,0
37,46,454,1,1,4,0.1013215859030837,0
38,14,305,2,1,2,0.0459016393442622,0
39,70,609,2,0,4,0.1149425287356321,0
40,250,548,2,1,4,0.4562043795620438,0
41,232,349,1,0,4,0.664756446991404,0
42,34,338,2,1,0,0.1005917159763313,0
43,29,495,3,0,2,0.0585858585858585,0
44,12,335,1,0,0,0.035820895522388,0
45,38,350,2,1,1,0.1085714285714285,0
46,24,504,1,1,2,0.0476190476190476,0
47,15,319,2,1,4,0.0470219435736677,0
48,240,485,2,1,4,0.4948453608247423,0
49,25,360,2,1,1,0.0694444444444444,0
50,87,530,4,0,1,0.1641509433962264,0
51,69,717,1,1,4,0.0962343096234309,0
52,5,323,2,1,0,0.0154798761609907,0
53,49,417,3,1,4,0.1175059952038369,0
54,75,368,2,0,4,0.2038043478260869,0
55,144,394,3,0,4,0.365482233502538,0
56,4,373,2,0,4,0.0107238605898123,0
57,18,431,1,1,4,0.0417633410672853,0
58,94,669,1,0,0,0.14050822122571,0
59,75,721,2,0,4,0.1040221914008321,0
60,256,844,4,1,4,0.3033175355450237,0
61,40,337,2,0,4,0.1186943620178041,0
62,7,423,3,1,4,0.0165484633569739,0
63,136,930,1,0,4,0.1462365591397849,0
64,112,402,3,0,1,0.2786069651741293,0
65,68,442,1,1,4,0.1538461538461538,0
66,3,435,1,1,1,0.0068965517241379,0
67,30,538,3,1,4,0.0557620817843866,0
68,20,401,1,1,2,0.0498753117206982,0
69,111,774,1,1,1,0.1434108527131783,0
70,81,367,2,1,1,0.220708446866485,0
71,2,453,4,0,4,0.0044150110375275,0
72,12,311,1,1,4,0.0385852090032154,0
73,6,703,1,0,4,0.0085348506401137,0
74,10,345,2,1,4,0.0289855072463768,0
75,88,613,1,1,1,0.1435562805872756,0
76,102,329,1,1,3,0.3100303951367781,0
77,93,611,4,0,4,0.1522094926350245,0
78,16,523,2,0,0,0.0305927342256214,0
79,57,424,0,1,1,0.1344339622641509,0
80,51,483,3,0,4,0.1055900621118012,0
81,256,1170,2,0,4,0.2188034188034188,0
82,2,316,2,1,4,0.0063291139240506,0
83,441,545,2,1,4,0.8091743119266055,0
84,152,375,1,1,3,0.4053333333333333,0
85,25,329,2,1,4,0.0759878419452887,0
86,59,935,2,1,1,0.0631016042780748,0
87,1,309,2,0,1,0.0032362459546925,0
88,52,665,2,1,4,0.0781954887218045,0
89,32,751,2,1,4,0.0426098535286285,0
90,10,687,3,1,4,0.0145560407569141,0
91,17,639,3,1,4,0.0266040688575899,0
92,16,460,3,0,4,0.0347826086956521,0
93,31,308,1,1,0,0.1006493506493506,0
94,15,559,1,0,2,0.0268336314847942,0
95,27,1006,1,1,4,0.0268389662027833,0
96,504,504,1,1,4,1.0,0
97,15,478,2,0,4,0.0313807531380753,0
98,2,299,3,0,4,0.0066889632107023,0
99,102,613,2,1,1,0.166394779771615,0
100,18,423,2,0,4,0.0425531914893617,0
101,20,1148,3,1,4,0.0174216027874564,0
102,13,389,3,0,2,0.0334190231362467,0
103,47,595,2,1,4,0.0789915966386554,0
104,192,462,2,1,0,0.4155844155844156,0
105,21,300,1,1,4,0.07,0
106,38,356,4,0,4,0.1067415730337078,0
107,23,556,1,0,4,0.0413669064748201,0
108,45,300,0,1,0,0.15,0
109,18,298,3,0,4,0.0604026845637583,0
110,186,565,1,0,2,0.3292035398230089,0
111,37,433,3,0,2,0.0854503464203233,0
112,47,418,0,1,0,0.1124401913875598,0
113,80,841,1,1,2,0.0951248513674197,0
114,102,1269,1,0,4,0.0803782505910165,0
